gene	Sham_C.Sham_WNV	Sham_C.Sham_JEV	Sham_C.WNVp_JEV	Name	description	attributes
CPIJ000017	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ73]	ID=gene:CPIJ000017;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ73];gene_id=CPIJ000017;logic_name=vectorbase_culex
CPIJ000038	0	1	0		UDP-glucuronosyltransferase 1-3 precursor [Source:VB Community Annotation]	ID=gene:CPIJ000038;biotype=protein_coding;description=UDP-glucuronosyltransferase 1-3 precursor [Source:VB Community Annotation];gene_id=CPIJ000038;logic_name=vectorbase_culex
CPIJ000039	0	0	1		glucosyl/glucuronosyl transferases [Source:VB Community Annotation]	ID=gene:CPIJ000039;biotype=protein_coding;description=glucosyl/glucuronosyl transferases [Source:VB Community Annotation];gene_id=CPIJ000039;logic_name=vectorbase_culex
CPIJ000074	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZC1]	ID=gene:CPIJ000074;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZC1];gene_id=CPIJ000074;logic_name=vectorbase_culex
CPIJ000117	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYY7]	ID=gene:CPIJ000117;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYY7];gene_id=CPIJ000117;logic_name=vectorbase_culex
CPIJ000199	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZT0]	ID=gene:CPIJ000199;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZT0];gene_id=CPIJ000199;logic_name=vectorbase_culex
CPIJ000202	0	0	1		protein kinase C inhibitor%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000202;biotype=protein_coding;description=protein kinase C inhibitor%2C putative [Source:VB Community Annotation];gene_id=CPIJ000202;logic_name=vectorbase_culex
CPIJ000205	0	0	1		60S ribosomal protein L18 [Source:UniProtKB/TrEMBL%3BAcc:B0VZT6]	ID=gene:CPIJ000205;biotype=protein_coding;description=60S ribosomal protein L18 [Source:UniProtKB/TrEMBL%3BAcc:B0VZT6];gene_id=CPIJ000205;logic_name=vectorbase_culex
CPIJ000211	0	0	1		cysteine-rich secretory protein-2%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000211;biotype=protein_coding;description=cysteine-rich secretory protein-2%2C putative [Source:VB Community Annotation];gene_id=CPIJ000211;logic_name=vectorbase_culex
CPIJ000235	1	0	0		Peanut protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW6]	ID=gene:CPIJ000235;biotype=protein_coding;description=Peanut protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW6];gene_id=CPIJ000235;logic_name=vectorbase_culex
CPIJ000236	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW7]	ID=gene:CPIJ000236;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZW7];gene_id=CPIJ000236;logic_name=vectorbase_culex
CPIJ000247	0	0	1		Syntaxin Interacting protein 1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZD6]	ID=gene:CPIJ000247;biotype=protein_coding;description=Syntaxin Interacting protein 1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZD6];gene_id=CPIJ000247;logic_name=vectorbase_culex
CPIJ000286	1	0	0		WD repeat protein 26 [Source:UniProtKB/TrEMBL%3BAcc:B0VZH5]	ID=gene:CPIJ000286;biotype=protein_coding;description=WD repeat protein 26 [Source:UniProtKB/TrEMBL%3BAcc:B0VZH5];gene_id=CPIJ000286;logic_name=vectorbase_culex
CPIJ000318	0	0	1		cytochrome b5%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000318;biotype=protein_coding;description=cytochrome b5%2C putative [Source:VB Community Annotation];gene_id=CPIJ000318;logic_name=vectorbase_culex
