gene	WNVp_C.WNVp_WNV	Sham_WNV.WNVp_WNV	WNVp_WNV.WNVp_JEV	Sham_JEV.WNVp_JEV	Sham_C.Sham_WNV	Sham_C.Sham_JEV	Sham_C.WNVp_JEV	Name	description	attributes
CPIJ000007	0	0	1	1	0	0	0		Chitinase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ32]	ID=gene:CPIJ000007;biotype=protein_coding;description=Chitinase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ32];gene_id=CPIJ000007;logic_name=vectorbase_culex
CPIJ000017	0	0	0	0	1	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ73]	ID=gene:CPIJ000017;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ73];gene_id=CPIJ000017;logic_name=vectorbase_culex
CPIJ000018	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ74]	ID=gene:CPIJ000018;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ74];gene_id=CPIJ000018;logic_name=vectorbase_culex
CPIJ000038	0	0	0	0	0	1	0		UDP-glucuronosyltransferase 1-3 precursor [Source:VB Community Annotation]	ID=gene:CPIJ000038;biotype=protein_coding;description=UDP-glucuronosyltransferase 1-3 precursor [Source:VB Community Annotation];gene_id=CPIJ000038;logic_name=vectorbase_culex
CPIJ000039	0	0	1	1	0	0	1		glucosyl/glucuronosyl transferases [Source:VB Community Annotation]	ID=gene:CPIJ000039;biotype=protein_coding;description=glucosyl/glucuronosyl transferases [Source:VB Community Annotation];gene_id=CPIJ000039;logic_name=vectorbase_culex
CPIJ000041	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ95]	ID=gene:CPIJ000041;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ95];gene_id=CPIJ000041;logic_name=vectorbase_culex
CPIJ000074	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZC1]	ID=gene:CPIJ000074;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZC1];gene_id=CPIJ000074;logic_name=vectorbase_culex
CPIJ000117	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYY7]	ID=gene:CPIJ000117;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VYY7];gene_id=CPIJ000117;logic_name=vectorbase_culex
CPIJ000141	0	0	0	1	0	0	0		Defective proboscis extension [Source:UniProtKB/TrEMBL%3BAcc:B0VZ07]	ID=gene:CPIJ000141;biotype=protein_coding;description=Defective proboscis extension [Source:UniProtKB/TrEMBL%3BAcc:B0VZ07];gene_id=CPIJ000141;logic_name=vectorbase_culex
CPIJ000146	0	0	0	1	0	0	0		superoxide dismutase 2 [Source:VB Community Annotation]	ID=gene:CPIJ000146;biotype=protein_coding;description=superoxide dismutase 2 [Source:VB Community Annotation];gene_id=CPIJ000146;logic_name=vectorbase_culex
CPIJ000162	0	0	1	1	0	0	0		60S ribosomal protein L8 [Source:UniProtKB/TrEMBL%3BAcc:B0VZP3]	ID=gene:CPIJ000162;biotype=protein_coding;description=60S ribosomal protein L8 [Source:UniProtKB/TrEMBL%3BAcc:B0VZP3];gene_id=CPIJ000162;logic_name=vectorbase_culex
CPIJ000164	0	0	0	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZP5]	ID=gene:CPIJ000164;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZP5];gene_id=CPIJ000164;logic_name=vectorbase_culex
CPIJ000196	0	0	0	1	0	0	0		Steroid receptor-interacting snf2 domain protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZS7]	ID=gene:CPIJ000196;biotype=protein_coding;description=Steroid receptor-interacting snf2 domain protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZS7];gene_id=CPIJ000196;logic_name=vectorbase_culex
CPIJ000198	0	0	1	1	0	0	0		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZS9]	ID=gene:CPIJ000198;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZS9];gene_id=CPIJ000198;logic_name=vectorbase_culex
CPIJ000199	0	0	1	1	0	0	1		uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZT0]	ID=gene:CPIJ000199;biotype=protein_coding;description=uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZT0];gene_id=CPIJ000199;logic_name=vectorbase_culex
CPIJ000202	0	0	1	1	0	0	1		protein kinase C inhibitor%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000202;biotype=protein_coding;description=protein kinase C inhibitor%2C putative [Source:VB Community Annotation];gene_id=CPIJ000202;logic_name=vectorbase_culex
CPIJ000205	0	0	1	1	0	0	1		60S ribosomal protein L18 [Source:UniProtKB/TrEMBL%3BAcc:B0VZT6]	ID=gene:CPIJ000205;biotype=protein_coding;description=60S ribosomal protein L18 [Source:UniProtKB/TrEMBL%3BAcc:B0VZT6];gene_id=CPIJ000205;logic_name=vectorbase_culex
CPIJ000210	0	0	1	0	0	0	0		cysteine-rich venom protein%2C putative [Source:VB Community Annotation]	ID=gene:CPIJ000210;biotype=protein_coding;description=cysteine-rich venom protein%2C putative [Source:VB Community Annotation];gene_id=CPIJ000210;logic_name=vectorbase_culex
