GO;Sham_C-WNVp_C;WNVp_C.WNVp_WNV;Sham_WNV.WNVp_WNV;WNVp_WNV.WNVp_JEV;Sham_JEV.WNVp_JEV;Sham_C.Sham_WNV;Sham_C.Sham_JEV;Sham_C.WNVp_WNV;Sham_C.WNVp_JEV;Term;class
GO:0000154;0;0;0;1;0;0;0;1;1;rRNA modification;BP
GO:0001932;0;0;0;1;0;0;1;0;0;regulation of protein phosphorylation;BP
GO:0002376;0;0;1;0;0;0;0;0;0;immune system process;BP
GO:0006091;0;0;0;1;1;0;0;1;1;generation of precursor metabolites and ...;BP
GO:0006139;0;0;0;0;1;0;0;0;0;nucleobase-containing compound metabolic...;BP
GO:0006220;0;0;0;0;0;1;1;0;0;pyrimidine nucleotide metabolic process;BP
GO:0006221;0;0;0;0;0;0;1;0;0;pyrimidine nucleotide biosynthetic proce...;BP
GO:0006396;0;0;1;1;1;1;0;1;1;RNA processing;BP
GO:0006397;0;0;1;1;1;0;0;1;1;mRNA processing;BP
GO:0006413;0;0;0;0;1;0;0;0;0;translational initiation;BP
GO:0006508;0;0;0;0;0;1;0;0;0;proteolysis;BP
GO:0006643;0;0;0;0;0;0;0;1;1;membrane lipid metabolic process;BP
GO:0006725;0;0;0;0;1;0;1;0;0;cellular aromatic compound metabolic pro...;BP
GO:0006753;0;0;0;0;0;1;1;1;1;nucleoside phosphate metabolic process;BP
GO:0006766;0;0;0;0;0;1;0;0;0;vitamin metabolic process;BP
GO:0006807;0;0;0;0;1;1;1;0;0;nitrogen compound metabolic process;BP
GO:0006914;0;0;0;1;0;0;0;0;0;autophagy;BP
GO:0006935;0;0;0;0;0;1;1;1;1;chemotaxis;BP
GO:0006950;0;0;1;1;1;1;0;1;1;response to stress;BP
GO:0006952;0;0;1;0;0;0;0;0;0;defense response;BP
GO:0006955;0;0;1;0;0;1;0;0;0;immune response;BP
GO:0006979;0;0;0;0;1;0;0;0;0;response to oxidative stress;BP
GO:0007033;0;0;0;1;0;1;0;0;0;vacuole organization;BP
GO:0007049;0;0;0;0;0;0;1;0;0;cell cycle;BP
GO:0007219;0;0;0;0;0;0;1;0;0;Notch signaling pathway;BP
GO:0007275;0;0;0;1;0;0;0;0;0;multicellular organism development;BP
