gene;Sham_C.Sham_WNV;Sham_C.Sham_JEV;Bartholomay2010;Pradakar2015;Shin2014;Name;description
CPIJ000038;0;1;1;0;0;;UDP-glucuronosyltransferase 1-3 precursor [Source:VB Community Annotation]
CPIJ000146;1;0;1;0;0;;superoxide dismutase 2 [Source:VB Community Annotation]
CPIJ000938;1;0;1;1;0;;techylectin-5B precursor [Source:VB Community Annotation]
CPIJ000950;0;1;1;0;0;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W1N6]
CPIJ001155;0;1;1;0;0;;Cell division protein kinase 2 [Source:UniProtKB/TrEMBL%3BAcc:B0W261]
CPIJ001164;0;1;1;0;0;;Mitochondrial inner membrane protease subunit [Source:UniProtKB/TrEMBL%3BAcc:B0W2D0]
CPIJ001679;1;1;1;0;0;;CGI-94 protein [Source:VB Community Annotation]
CPIJ002335;1;0;1;0;0;;ATP-dependent RNA helicase DDX51 [Source:UniProtKB/TrEMBL%3BAcc:B0W5M0]
CPIJ002639;1;0;1;0;0;;Transcription initiation factor TFIID subunit 13 [Source:UniProtKB/TrEMBL%3BAcc:B0W7M4]
CPIJ002685;1;1;1;0;0;;Enoyl-CoA hydratase ECHA12 [Source:UniProtKB/TrEMBL%3BAcc:B0W6D4]
CPIJ002837;0;1;1;0;0;;Calpain (Fragment) [Source:UniProtKB/TrEMBL%3BAcc:B0W6N4]
CPIJ003098;0;1;1;0;0;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W700]
CPIJ003130;0;1;1;0;0;;replication factor A%2C 14kD-subunit%2C putative [Source:VB Community Annotation]
CPIJ003501;1;0;1;0;0;;Calcium and integrin-binding protein 1 [Source:UniProtKB/TrEMBL%3BAcc:B0W8S6]
CPIJ003534;1;0;1;0;0;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W8V9]
CPIJ003764;1;0;1;0;0;;uncharacterized protein [Source:UniProtKB/TrEMBL%3BAcc:B0W9F3]
