gene	Sham_C.WNVp_C	WNVp_C.WNVp_WNV	Sham_WNV.WNVp_WNV	WNVp_WNV.WNVp_JEV	Sham_JEV.WNVp_JEV	Sham_C.Sham_WNV	Sham_C.Sham_JEV	Sham_C.WNVp_WNV	Sham_C.WNVp_JEV	Name	description	attributes
CPIJ000009	0	0	0	0	1	0	0	0	0		chitinase A1 precursor [Source:VB Community Annotation]	ID=gene:CPIJ000009;biotype=protein_coding;description=chitinase A1 precursor [Source:VB Community Annotation];gene_id=CPIJ000009;logic_name=vectorbase_culex
CPIJ000010	0	0	0	0	1	0	0	0	0		Chitinase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ35]	ID=gene:CPIJ000010;biotype=protein_coding;description=Chitinase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ35];gene_id=CPIJ000010;logic_name=vectorbase_culex
CPIJ000021	0	0	0	0	0	0	0	0	1		Salivary protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ60]	ID=gene:CPIJ000021;biotype=protein_coding;description=Salivary protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZ60];gene_id=CPIJ000021;logic_name=vectorbase_culex
CPIJ000025	0	0	0	1	0	0	0	0	1		Negative elongation factor E [Source:UniProtKB/TrEMBL%3BAcc:B0VZ65]	ID=gene:CPIJ000025;biotype=protein_coding;description=Negative elongation factor E [Source:UniProtKB/TrEMBL%3BAcc:B0VZ65];gene_id=CPIJ000025;logic_name=vectorbase_culex
CPIJ000031	0	0	0	1	0	1	1	0	1		Glutathione S-transferase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ90]	ID=gene:CPIJ000031;biotype=protein_coding;description=Glutathione S-transferase [Source:UniProtKB/TrEMBL%3BAcc:B0VZ90];gene_id=CPIJ000031;logic_name=vectorbase_culex
CPIJ000040	0	0	0	0	1	0	0	0	0		UDP-glucuronosyltransferase 2B1 [Source:VB Community Annotation]	ID=gene:CPIJ000040;biotype=protein_coding;description=UDP-glucuronosyltransferase 2B1 [Source:VB Community Annotation];gene_id=CPIJ000040;logic_name=vectorbase_culex
CPIJ000088	0	0	0	1	1	0	0	0	0		Goodpasture antigen-binding protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZD0]	ID=gene:CPIJ000088;biotype=protein_coding;description=Goodpasture antigen-binding protein [Source:UniProtKB/TrEMBL%3BAcc:B0VZD0];gene_id=CPIJ000088;logic_name=vectorbase_culex
CPIJ000095	0	0	0	1	1	0	0	0	1		Rab 19 [Source:UniProtKB/TrEMBL%3BAcc:B0VZC7]	ID=gene:CPIJ000095;biotype=protein_coding;description=Rab 19 [Source:UniProtKB/TrEMBL%3BAcc:B0VZC7];gene_id=CPIJ000095;logic_name=vectorbase_culex
CPIJ000097	0	0	0	0	0	1	1	0	0		Use1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZ75]	ID=gene:CPIJ000097;biotype=protein_coding;description=Use1 [Source:UniProtKB/TrEMBL%3BAcc:B0VZ75];gene_id=CPIJ000097;logic_name=vectorbase_culex
CPIJ000109	0	0	0	0	1	0	0	0	1		elongation of very long chain fatty acids protein 2 [Source:VB Community Annotation]	ID=gene:CPIJ000109;biotype=protein_coding;description=elongation of very long chain fatty acids protein 2 [Source:VB Community Annotation];gene_id=CPIJ000109;logic_name=vectorbase_culex
